date,time,tara,tweight,dweight,pweight,chemical_id,MUESTRA,%Fe,%Cu,%Zn,%Mo,%Ins,pSol,CODIGO_MUESTRA,time_hhmm
2022-12-05,15:38:00,110.0,1027.0,234.5,917.0,4847.0,Concentrado Colectivo,31.31,22.19,0.111,0.93,10.56,25.57,C_01_S10,15:38
2022-12-07,12:08:00,109.0,964.5,163.5,855.5,4853.0,Concentrado Colectivo,29.19,26.77,0.081,1.18,10.0,19.11,C_01_S10,12:08
2022-12-09,10:52:00,110.0,966.0,213.5,856.0,4861.0,Concentrado Colectivo,31.11,23.491,0.057,0.736,11.16,24.94,C_01_S10,10:52
2022-12-14,10:21:00,110.0,1070.0,283.5,960.0,4880.0,Concentrado Colectivo,29.49,24.331,0.068,1.03,10.1,29.53,C_01_S10,10:21
2022-12-19,12:31:00,110.0,1004.0,217.5,894.0,4889.0,Concentrado Colectivo,30.57,24.726,0.079,0.9,9.06,24.33,C_01_S10,12:31
2022-12-21,11:33:00,109.0,1019.0,236.0,910.0,4898.0,Concentrado Colectivo,28.18,25.92,0.112,1.09,11.78,25.93,C_01_S10,11:33
2022-12-26,11:53:00,110.0,933.5,230.0,823.5,4908.0,Concentrado Colectivo,27.8,23.97,0.072,1.35,13.16,27.93,C_01_S10,11:53
2022-12-28,9:56:00,109.0,1015.0,230.5,906.0,4917.0,Concentrado Colectivo,26.84,27.01,0.261,1.56,10.52,25.44,C_01_S10,09:56
2023-01-02,11:57:00,109.0,983.5,158.5,874.5,4925.0,Concentrado Colectivo,30.11,24.48,0.204,1.156,8.68,18.12,C_01_S10,11:57
2023-01-04,10:54:00,110.0,949.0,131.5,839.0,4933.0,Concentrado Colectivo,28.97,22.39,0.084,2.248,11.32,15.67,C_01_S10,10:54
2023-01-09,11:03:00,110.0,1013.0,241.0,903.0,4939.0,Concentrado Colectivo,30.28,23.57,0.094,1.49,9.28,26.69,C_01_S10,11:03
2023-01-11,15:24:00,110.0,1056.0,293.0,946.0,4945.0,Concentrado Colectivo,28.88,23.57,0.166,1.08,7.86,30.97,C_01_S10,15:24
2023-01-16,22:12:00,109.0,931.0,106.0,822.0,4957.0,Concentrado Colectivo,31.25,22.6,0.159,0.924,6.62,12.9,C_01_S10,22:12
2023-01-18,9:47:00,109.0,969.0,149.5,860.0,4965.0,Concentrado Colectivo,30.09,22.698,0.244,1.46,8.24,17.38,C_01_S10,09:47
