date,time,tara,tweight,dweight,pweight,chemical_id,MUESTRA,%Fe,%Cu,%Zn,%Mo,%Ins,pSol,CODIGO_MUESTRA,time_hhmm,motivo_error
2023-01-30,10:25,110.0,1049.0,268.0,939.0,4995.0,Concentrado Colectivo,32.41,20.384,0.106,1.148,8.36,28.54,C_01_S10,10:25,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-01-30 a las 10:25.
2023-02-24,11:23:00,109.0,999.5,176.5,890.5,5066.0,Concentrado Colectivo,29.0,22.97,0.802,1.111,10.86,19.82,C_01_S10,11:23,"Fallo Muestra/Código: A esa hora existen las muestras ['Rebose Hidrociclones L2 [C_01_S02]'], pero no 'Concentrado Colectivo' ['C_01_S10']."
2023-11-27,11:43:00,110.0,861.0,215.0,751.0,5688.0,Concentrado Colectivo,29.63,23.383,0.097,1.69,8.76,28.63,C_01_S10,11:43,"Fallo Muestra/Código: A esa hora existen las muestras ['Concentrado 1ra Limpieza L1 [C_01_S08]'], pero no 'Concentrado Colectivo' ['C_01_S10']."
2024-05-27,22:47:00,110.0,861.5,190.0,751.5,1716824693.0,Concentrado Colectivo,29.625,22.599,0.0,0.697,10.7,25.28,C_01_S10,22:47,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-05-27 a las 22:47.
2024-10-09,16:31:00,110.0,739.5,127.0,629.5,1728508665.0,Concentrado Colectivo,29.281,27.367,0.0,1.097,5.88,20.17,C_01_S10,16:31,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-10-09 a las 16:31.
2025-07-28,14:00:00,110.5,995.5,163.5,885.0,1753714839.0,Concentrado Colectivo,22.847,25.12,0.209,2.178,12.82,18.47,C_01_S10,14:00,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2025-07-28 a las 14:00.
2025-07-31,12:05:00,109.0,1163.5,364.0,1054.5,1753895029.0,Concentrado Colectivo,25.212,25.921,0.0,1.484,6.96,34.52,C_01_S10,12:05,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2025-07-31 a las 12:05.
2025-08-27,17:00:00,109.0,999.0,131.0,890.0,1755729030.0,Concentrado Colectivo,25.721,24.433,0.155,2.029,13.78,14.72,C_01_S10,17:00,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2025-08-27 a las 17:00.
2025-11-26,11:11:00,110.5,961.5,193.0,851.0,9572.0,Concentrado Colectivo,28.961,27.263,0.428,1.471,8.12,22.68,C_01_S10,11:11,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2025-11-26 a las 11:11.
2025-11-28,12:29:00,110.5,1002.0,246.0,891.5,1764349910.0,Concentrado Colectivo,26.403,23.69,0.247,0.975,13.86,27.59,C_01_S10,12:29,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2025-11-28 a las 12:29.
2025-12-01,11:04:00,115.5,945.5,945.5,830.0,1764604983.0,Concentrado Colectivo,26.106,22.798,0.086,1.366,14.9,113.92,C_01_S10,11:04,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2025-12-01 a las 11:04.
2025-12-03,11:01:00,110.5,954.0,148.5,843.5,1764777025.0,Concentrado Colectivo,26.97,26.518,0.406,1.033,8.36,17.61,C_01_S10,11:01,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2025-12-03 a las 11:01.
2025-12-05,11:45:00,110.0,929.5,116.5,819.5,1764952091.0,Concentrado Colectivo,27.987,26.268,0.268,1.304,9.76,14.22,C_01_S10,11:45,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2025-12-05 a las 11:45.
2025-12-24,12:00:00,110.5,628.5,154.5,518.0,9652.0,Concentrado Colectivo,25.813,21.824,0.147,3.164,17.92,29.83,C_01_S10,12:43,ok Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2025-12-24 a las 12:43.
