date,time,tara,tweight,dweight,pweight,chemical_id,MUESTRA,%Fe,%Cu,%Zn,%Mo,%Ins,pSol,CODIGO_MUESTRA,time_hhmm,motivo_error
2023-01-30,10:25,110.0,1049.0,268.0,939.0,4995.0,Concentrado Colectivo,32.41,20.384,0.106,1.148,8.36,28.54,C_01_S10,10:25,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-01-30 a las 10:25.
2023-01-30,10:41:47,110.0,1312.5,485.0,1202.5,4994.0,Rebose Hidrociclones L2,2.507,0.469,0.004,0.024,0.0,40.33,C_01_S02,10:41,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-01-30 a las 10:41.
2023-01-30,11:06,110.0,1329.0,513.5,1219.0,4996.0,Concentrado Primario L2,32.04,10.29,0.052,0.559,19.8,42.12,C_01_S14,11:06,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-01-30 a las 11:06.
2023-02-24,11:23:00,109.0,999.5,176.5,890.5,5066.0,Concentrado Colectivo,29.0,22.97,0.802,1.111,10.86,19.82,C_01_S10,11:23,"Fallo Muestra/Código: A esa hora existen las muestras ['Rebose Hidrociclones L2 [C_01_S02]'], pero no 'Concentrado Colectivo' ['C_01_S10']."
2023-02-24,11:25:00,108.0,1152.5,199.5,1044.5,5063.0,Rebose Hidrociclones L1,4.655,0.377,0.017,0.013,0.0,19.1,C_01_S01,11:25,"Fallo Muestra/Código: A esa hora existen las muestras ['Concentrado Primario L2 [C_01_S14]'], pero no 'Rebose Hidrociclones L1' ['C_01_S01']."
2023-02-24,11:27:00,109.0,1302.0,443.5,1193.0,5064.0,Rebose Hidrociclones L2,4.161,0.429,0.017,0.015,0.0,37.18,C_01_S02,11:27,"Fallo Muestra/Código: A esa hora existen las muestras ['Concentrado Colectivo [C_01_S10]'], pero no 'Rebose Hidrociclones L2' ['C_01_S02']."
2023-03-03,10:35:00,108.0,1102.5,84.5,994.5,5082.0,Rebose Hidrociclones L2,8.76,0.382,0.011,0.009,,8.5,C_01_S02,10:35,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-03-03 a las 10:35.
2023-03-15,11:11:00,108.0,1192.0,305.5,1084.0,5110.0,Rebose Hidrociclones L2,3.164,0.364,0.005,0.022,,28.18,C_01_S02,11:11,"Fallo Muestra/Código: A esa hora existen las muestras ['Rebose Hidrociclones L1 [C_01_S01]'], pero no 'Rebose Hidrociclones L2' ['C_01_S02']."
2023-03-15,11:14:00,111.5,1280.5,482.0,1169.0,5111.0,Rebose Hidrociclones L1,28.42,0.506,0.004,0.026,,41.23,C_01_S01,11:14,"Fallo Muestra/Código: A esa hora existen las muestras ['Rebose Hidrociclones L2 [C_01_S02]'], pero no 'Rebose Hidrociclones L1' ['C_01_S01']."
2023-03-22,16:48:00,108.0,1181.0,294.0,1073.0,5126.0,Rebose Hidrociclones L2,2.302,0.433,0.005,0.019,,27.4,C_01_S02,16:48,"Fallo Muestra/Código: A esa hora existen las muestras ['Rebose Hidrociclones L1 [C_01_S01]'], pero no 'Rebose Hidrociclones L2' ['C_01_S02']."
2023-03-22,16:54:00,111.5,1237.0,400.0,1125.5,5130.0,Concentrado Primario L2,30.39,11.12,0.11,0.646,22.08,35.54,C_01_S14,16:54,"Fallo Muestra/Código: A esa hora existen las muestras ['Concentrado Primario L1 [C_01_S15]'], pero no 'Concentrado Primario L2' ['C_01_S14']."
2023-03-22,17:28:00,110.0,1238.0,403.0,1128.0,5127.0,Rebose Hidrociclones L1,26.18,0.407,0.005,0.017,,35.73,C_01_S01,17:28,"Fallo Muestra/Código: A esa hora existen las muestras ['Rebose Hidrociclones L2 [C_01_S02]'], pero no 'Rebose Hidrociclones L1' ['C_01_S01']."
2023-06-26,11:26:00,109.0,1220.5,410.5,1111.5,5331.0,Concentrado Primario L1,28.06,13.68,0.141,0.286,,36.93,C_01_S15,11:26,"Fallo Muestra/Código: A esa hora existen las muestras ['Concentrado Primario L2 [C_01_S14]'], pero no 'Concentrado Primario L1' ['C_01_S15']."
2023-07-13,16:59:00,108.5,988.0,99.5,879.5,5339.0,Cola Scavenger L1,15.78,0.437,,0.014,,11.31,C_01_S04,16:59,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-07-13 a las 16:59.
