date,time, tara , tweight , dweight , pweight ,chemical_id,MUESTRA,pFe,pCu,pZn,pMo,pIns,pSol
2022-12-05,15:23:00,  109.0 ,1177.5,  310.5 ,1068.5,4846,Relave Final,2.394,0.058,0.000,0.005,0.000,29.06
2022-12-05,15:25:00,  110.0 ,1205.5,  325.5 ,1095.5,4848,Concentrado Primario L1,  25.650 ,  12.440 ,  0.067 ,  0.545 ,  29.900 ,29.71
2022-12-05,15:27:00,  109.5 ,1255.,  433.0 ,1145.5,4845,Rebose Hidrociclones L1,  2.752 ,  0.512 ,  0.005 ,  0.020 ,  0   ,37.80
2022-12-05,15:38:00,  110.0 ,1027.,  234.5 ,917.,4847,Concentrado Colectivo,  31.310 ,  22.190 ,  0.111 ,  0.930 ,  10.560 ,25.57
2022-12-07,12:04:00,  109.5 ,1230.,  415.5 ,1120.5,4851,Rebose Hidrociclones L1,  2.596 ,  0.481 ,  0.004 ,  0.017 ,  0   ,37.08
2022-12-07,12:06:00,  110.0 ,1210.,  372.5 ,1100.,4852,Relave Final,2.377,0.072,0.000,0.005,0.000,33.86
2022-12-07,12:08:00,  109.0 ,964.5,  163.5 ,855.5,4853,Concentrado Colectivo,  29.190 ,  26.770 ,  0.081 ,  1.180 ,  10.000 ,19.11
2022-12-07,12:10:00,  111.5 ,1176.,  319.0 ,1064.5,4854,Concentrado Primario L1,  24.270 ,  15.220 ,  0.056 ,  0.690 ,  29.540 ,29.97
2022-12-09,10:50:00,  109.5 ,1206.,  386.0 ,1096.5,4859,Rebose Hidrociclones L1,  2.648 ,  0.512 ,  0.003 ,  0.014 ,  0   ,35.20
2022-12-09,10:52:00,  110.0 ,966.,  213.5 ,856.,4861,Concentrado Colectivo,  31.110 ,  23.491 ,  0.057 ,  0.736 ,  11.160 ,24.94
2022-12-09,10:54:00,  109.0 ,1168.,  326.0 ,1059.,4860,Relave Final,2.089,0.045,0.000,0.005,0.000,30.78
2022-12-09,10:55:00,  109.0 ,1249.,  453.0 ,1140.,4862,Concentrado Primario L2,  27.500 ,  16.057 ,  0.036 ,  0.384 ,  25.100 ,39.74
2022-12-09,10:58:00,  110.0 ,1112.,  223.5 ,1002.,4863,Concentrado Primario L1,  24.790 ,  13.679 ,  0.036 ,  0.368 ,  30.680 ,22.31
2022-12-14,10:16:00,  109.0 ,1165.,  315.0 ,1056.,4879,Relave Final,2.068,0.049,0.000,0.002,0.000,29.83
